meanR,meanG,meanB,meanS,meanV,stdR,stdG,stdB,stdS,stdV,clase
0.0072,0.0092,0.0156,43.5907,157.0095,0.8338,1.062,1.7993,29.9871,49.6435,fuego
42.094848,43.701607,41.058019,85.251533,106.726581,63.576058,65.751219,69.702203,58.356033,54.982756,humo
3.207811,5.455791,6.139783,74.863216,131.499469,10.918425,18.47859,17.834364,60.602426,56.424496,no_fuego
1.9988,3.1144,7.2899,52.957,144.7523,12.2919,17.4264,40.156,50.1993,50.2704,fuego
103.961317,108.711262,116.596738,44.619813,144.247267,72.042064,73.91815,75.857948,35.02373,50.196416,humo
14.533,14.1719,14.1614,46.0888,69.9572,35.898,35.0038,35.178,52.9094,35.0412,humo
1.513938,2.201429,3.764267,41.147518,151.346509,10.694712,16.970805,32.316738,34.111282,48.533135,fuego
8.0208,11.4074,14.6428,159.7368,158.5916,29.4477,41.9301,53.8235,41.6294,58.8361,humo
2.162977,3.390063,3.361399,135.526591,152.62146,8.438381,12.218532,12.810186,73.190596,64.798123,no_fuego
8.232509,18.015432,29.986249,136.421028,111.038757,23.813246,50.657717,83.306277,50.274436,86.042582,fuego
2.587686,4.062232,4.218271,64.960772,114.132567,9.863825,15.96911,16.306594,47.431712,45.678082,no_fuego
4.9392,5.7612,6.31,80.8254,112.8932,11.1603,12.6287,13.9785,60.9049,81.6731,no_fuego
33.6844,37.1304,40.3215,64.7239,114.0399,52.1623,57.811,63.2435,46.7387,43.4926,humo
3.5853,4.7494,6.6276,117.265,125.1562,18.1941,24.1362,33.6222,50.9083,58.6559,humo
8.592533,7.672,6.408735,89.840447,95.12886,16.181111,13.292584,11.008235,62.023805,58.163791,no_fuego
74.1154,74.4912,75.5988,73.4885,127.5654,76.8255,77.7013,80.5445,62.3442,54.0623,humo
2.307305,3.721883,3.741269,118.720546,144.344868,9.831732,13.566411,14.267693,45.84725,66.725131,no_fuego
1.414545,2.658472,4.40146,72.317567,117.476456,8.728585,19.62289,31.753338,57.130423,54.316815,fuego
1.2909,2.4289,5.2919,58.5919,110.3672,9.3501,16.3396,35.2882,47.6351,53.5505,fuego
39.4633,44.3681,47.7616,156.7275,112.8514,61.7545,70.3155,76.439,82.2596,62.527,humo
0,0,0,35.2024,115.6565,0,0,0,26.4201,37.5559,fuego
3.93475,8.834592,17.908278,117.57764,121.784063,9.061666,32.294635,59.022872,62.016028,57.262267,fuego
18.375567,16.09022,18.452337,84.158297,82.629276,48.845911,43.963582,44.24331,65.169949,61.233403,humo
22.4905,26.7292,25.106,130.1374,111.6971,47.6421,56.1395,53.5756,64.6558,56.5966,humo
9.4781,7.948,6.0706,90.7142,102.6969,16.3256,13.5712,10.9305,64.4493,62.3731,no_fuego
0.2089,0.3437,0.5583,34.1267,160.8545,4.2347,6.8355,11.063,18.4451,32.4848,fuego
5.090916,7.604811,6.004687,140.880212,111.291105,12.79024,13.899362,14.871244,50.421806,75.589286,no_fuego
10.8472,13.9883,13.9147,99.3065,66.2153,12.6341,16.0156,16.6017,51.03,46.7369,no_fuego
1.235108,2.37897,3.640523,78.643795,109.580096,9.141596,18.064332,28.364081,58.985716,76.124332,fuego
4.4959,8.5284,7.7757,115.6652,134.3894,11.3608,21.285,19.1534,60.5727,48.8109,no_fuego
2.077834,3.447446,6.827202,79.137306,121.386591,12.357403,21.029738,38.791355,38.462036,65.690171,fuego
5.844,9.7261,8.8543,67.1685,113.9053,12.9049,21.3731,19.5717,54.1259,54.3376,no_fuego
0.922721,0.053138,0.705174,42.824981,143.090461,3.621665,6.887926,3.278796,23.297929,44.285564,no_fuego
14.797267,14.521088,15.77061,83.611844,91.263145,43.831783,43.09923,46.832716,44.050435,53.543872,humo
103.1119,109.1028,116.6652,46.3355,139.3463,69.5249,73.4429,78.3683,38.6402,55.4908,humo
2.494025,3.922995,4.008432,65.079968,114.100452,9.80157,15.710598,16.256338,46.910151,45.350148,no_fuego
41.6971,41.8323,46.7365,68.6616,144.1184,61.9199,63.2059,71.0149,47.5432,61.0673,humo
7.1774,8.4355,9.0091,147.0218,121.5926,29.0744,34.0794,36.5631,72.6366,63.4907,humo
37.219051,40.721939,36.965934,121.932852,113.465893,52.87998,59.833321,63.392715,76.651296,52.711994,humo
2.9863,8.0364,17.7577,76.1323,135.9669,11.4086,28.0496,61.6268,77.1696,51.6304,fuego
1.2898,5.2585,9.6218,240.9567,134.9181,7.1074,25.2874,45.3991,20.9734,54.7593,fuego
64.6952,69.0505,71.6264,35.2024,115.6565,64.4804,69.6308,73.994,26.4201,37.5559,humo
2.3122,2.0244,2.1682,147.0218,121.5926,9.4993,8.8244,9.6865,72.6366,63.4907,no_fuego
1.806,3.1091,3.5731,50.0931,138.555,6.9831,11.5503,13.1549,71.134,56.7321,no_fuego
34.948601,35.120604,39.448113,88.516386,104.130707,59.844595,62.619079,63.936506,60.430304,60.265251,humo
59.9235,63.4906,66.762,80.9084,132.892,72.5386,75.637,79.0719,59.5987,56.6174,humo
2.536683,3.936151,7.368463,68.414173,142.179218,14.062565,21.778328,40.863563,39.030054,62.824351,fuego
41.154373,36.754076,39.649326,94.851909,124.61809,60.541488,65.790124,70.246604,58.365373,54.243316,humo
3.669155,5.903114,9.501195,64.960772,114.132567,17.437628,28.289449,44.791499,47.431712,45.678082,fuego
0.498,0.5836,0.6375,136.693,112.5438,7.3006,8.5426,9.4027,63.3347,63.1397,humo
3.5775,5.6213,6.1589,99.041,114.4992,10.6387,17.0495,18.5519,64.1795,50.5576,no_fuego
2.9082,3.9247,5.4699,155.763,97.5058,7.9814,10.5899,14.7062,47.4695,76.768,no_fuego
0.0159,0.021,0.0281,197.3886,97.2504,1.281,1.6929,2.2647,46.5364,90.5683,humo
1.2848,1.9193,3.3717,35.2578,150.4354,10.4694,15.6099,27.3313,34.6894,46.2154,fuego
1.291013,2.598667,4.471265,61.614414,112.375773,9.638239,17.431447,32.170524,48.690648,53.659979,fuego
0.395581,0.52831,0.931988,193.971217,133.950772,4.70758,4.313705,7.056171,38.404229,53.458799,no_fuego
0.804511,0.532564,1.941302,179.907052,108.102503,6.254956,15.643842,15.820228,40.184301,73.495761,humo
3.211,13.2137,28.7859,126.2388,93.9434,10.7475,37.6684,78.3386,97.6194,89.4137,fuego
5.313691,6.248764,6.431699,136.421028,111.038757,12.525314,14.347918,15.319608,50.274436,86.042582,no_fuego
0.5704,0.5369,0.5275,68.6616,144.1184,4.831,4.5702,4.5029,47.5432,61.0673,no_fuego
0.346772,0.201692,1.214215,50.210453,139.964996,3.0322,10.091591,17.172356,38.992104,64.920758,fuego
56.3199,57.2176,57.6479,47.7034,130.1936,72.9142,74.3759,75.4447,39.1506,61.4202,humo
1.0344,1.7796,2.9499,50.8791,116.4069,9.2211,15.712,25.8534,38.6354,65.3463,fuego
61.871732,62.271689,57.649895,62.715644,110.581123,69.195192,68.545408,70.049823,48.285065,53.831028,humo
0.594704,1.961398,1.599709,47.341943,157.454523,6.582979,10.286659,3.821435,30.468861,49.583788,no_fuego
95.799291,92.120345,91.765352,46.958701,157.259318,76.541163,77.063909,77.372286,40.207994,49.961857,humo
2.95765,7.994223,17.521895,76.129846,135.909781,11.366814,28.009089,61.456877,77.173722,51.586217,fuego
32.5436,30.7987,32.4661,96.7987,82.4662,59.2295,56.3048,59.6209,67.3061,58.4885,humo
11.9223,18.1173,18.4109,84.0162,91.2932,17.098,26.469,27.2433,44.3908,53.5475,no_fuego
1.216636,2.475126,2.119988,42.351284,154.11338,6.044793,7.30031,5.713681,34.289084,47.684512,no_fuego
0,0,0,53.9629,146.4633,0,0,0,39.3925,66.5506,fuego
3.5657,5.7685,9.1007,64.8349,114.1063,17.4304,28.1268,44.2338,47.0846,44.4417,fuego
9.8195,20.7119,36.9709,159.7368,158.5916,24.09,47.5155,82.9144,41.6294,58.8361,fuego
1.3294,3.9866,6.8416,99.3065,66.2153,7.72,23.2426,39.3556,51.03,46.7369,fuego
0.2381,0.255,0.285,35.2578,150.4354,3.0669,3.2794,3.7094,34.6894,46.2154,no_fuego
